Unit=111
Time Max.(hh:mm:ss) 05:00:00 
LocalTime Ch1:260RE  Ch2:260ABS Ch3:260FLO Ch4:300RE Ch5:300ABS Ch6:300FLO Ch7:315RE Ch8:315ABS Ch9:315FLO Ch10:370RE Ch11:370ABS Ch12:370FLO 

07:41:43     1337.4 6401.3 910.8 926.4 3196.3 523.5 1541.8 4349.2 540.9 3441.5 16370.7 1552.0 
07:41:45     1338.5 6382.3 901.1 933.8 3184.8 515.6 1549.4 4348.1 529.4 3452.1 16382.9 1543.3 
07:41:47     1322.7 6371.0 902.5 937.2 3177.3 510.6 1543.9 4347.4 537.2 3446.0 16388.2 1538.6 
07:41:49     1334.7 6358.8 906.1 930.7 3174.3 516.4 1540.6 4345.6 542.0 3443.1 16391.3 1550.3 
07:41:51     1327.4 6352.4 907.6 924.1 3170.9 517.2 1541.7 4346.4 536.4 3444.9 16391.2 1537.1 
07:41:53     1326.1 6340.4 901.0 921.9 3167.8 516.7 1541.3 4344.4 535.0 3446.4 16390.9 1552.2 
07:41:55     1323.1 6308.4 898.0 920.3 3159.3 518.5 1538.6 4331.3 545.9 3436.7 16357.8 1611.2 
07:41:57     1339.4 6331.1 907.1 926.7 3165.0 522.6 1541.6 4344.6 543.1 3445.1 16391.8 1549.3 
07:41:59     1322.3 6316.0 897.0 908.6 3140.9 515.7 1526.8 4305.6 564.5 3457.6 16332.0 1659.5 
07:42:01     1330.4 6322.4 900.0 927.3 3161.3 504.9 1544.3 4341.6 533.0 3449.7 16370.7 1568.9 
07:42:03     1321.2 6307.0 892.7 922.4 3156.5 512.3 1525.2 4334.3 540.3 3445.5 16377.1 1560.5 
07:42:05     1319.6 6303.6 898.3 929.2 3154.8 510.7 1542.7 4335.0 542.8 3462.2 16375.0 1561.5 
07:42:07     1322.5 6300.7 905.0 924.9 3153.3 515.6 1532.0 4334.8 543.6 3448.7 16374.5 1553.0 
07:42:09     1320.5 6298.4 890.5 938.0 3152.3 519.5 1534.8 4333.8 527.8 3442.7 16374.2 1550.5 
07:42:11     1312.0 6297.2 889.9 930.3 3152.0 511.9 1537.8 4334.3 528.5 3439.4 16374.5 1556.5 
07:42:13     1323.3 6291.7 892.5 925.3 3151.9 517.0 1538.1 4332.5 529.6 3447.3 16374.4 1552.2 
07:42:15     1311.4 6290.0 917.1 935.4 3149.8 507.9 1519.5 4332.6 543.4 3442.4 16373.2 1552.3 
07:42:17     1311.7 6290.6 897.3 922.0 3149.0 516.4 1539.0 4331.7 531.5 3450.2 16371.3 1551.1 
07:42:19     1313.2 6272.1 901.1 922.2 3140.8 511.1 1532.5 4319.9 532.5 3438.8 16336.1 1563.9 
